"users_served","total_utility_lp","total_cost_lp","budget_left","budget_v"
71,188.180083318488,9.9945960237646,0.00540397623540478,10
146,242.297793889009,14.9706268958544,0.0293731041455807,15
163,289.913206557983,19.99387402554,0.00612597445996954,20
206,334.246467228393,24.9897168828936,0.010283117106443,25
272,376.758372023379,29.9779171226577,0.0220828773423456,30
337,419.492975818106,34.9580111124433,0.0419888875566556,35
403,461.088863036714,39.9993510301308,0.00064896986924623,40
459,489.807051905831,44.9796660382253,0.0203339617746678,45
578,515.275295475316,49.9895719322323,0.0104280677677338,50
697,540.743539044801,54.9994778262392,0.000522173760806766,55
815,565.997763760761,59.9672836707167,0.0327163292833461,60
934,591.466007330246,64.9771895647236,0.022810435276412,65
1000,632.262450786166,69.9878265207856,0.0121734792143684,70
998,656.313313262169,74.981949098728,0.0180509012720051,75
999,674.358861375586,79.9860914656808,0.0139085343191994,80
1000,678.94803065247,83.8201120866788,1.17988791332118,85
1000,678.94803065247,83.8201120866788,6.17988791332118,90
1000,678.94803065247,83.8201120866788,11.1798879133212,95
1000,678.94803065247,83.8201120866788,16.1798879133212,100
1000,678.94803065247,83.8201120866788,21.1798879133212,105
1000,678.94803065247,83.8201120866788,26.1798879133212,110
1000,678.94803065247,83.8201120866788,31.1798879133212,115
1000,678.94803065247,83.8201120866788,36.1798879133212,120
1000,678.94803065247,83.8201120866788,41.1798879133212,125
1000,678.94803065247,83.8201120866788,46.1798879133212,130
"users_served","total_utility_lp","total_cost_lp","budget_left","budget_v"
73,185.936238885492,9.97842190016105,0.0215780998389459,10
149,243.533052822447,14.9599033816425,0.0400966183574631,15
172,290.496403607746,19.9750196607123,0.0249803392876942,20
211,334.750849319999,24.980680194529,0.0193198054710138,25
276,377.485453114727,29.9607741843147,0.0392258156853238,30
342,420.098323342233,34.9750682731593,0.0249317268406983,35
408,461.59324512832,39.9903143417662,0.0096856582338134,40
481,488.666963114692,44.9712795436759,0.028720456324109,45
600,514.135206684177,49.9811854376828,0.018814562317182,50
719,539.603450253662,54.9910913316898,0.00890866831024795,55
837,564.857674969622,59.9588971761672,0.0411028238327873,60
956,590.325918539107,64.9688030701741,0.0311969298258532,65
999,629.774694518527,69.990678489407,0.00932151059301134,70
1000,649.247825169378,74.9529313293478,0.0470686706521946,75
1000,653.256430938657,78.6698332945572,1.33016670544283,80
1000,653.256430938657,78.6698332945572,6.33016670544283,85
1000,653.256430938657,78.6698332945572,11.3301667054428,90
1000,653.256430938657,78.6698332945572,16.3301667054428,95
1000,653.256430938657,78.6698332945572,21.3301667054428,100
1000,653.256430938657,78.6698332945572,26.3301667054428,105
1000,653.256430938657,78.6698332945572,31.3301667054428,110
1000,653.256430938657,78.6698332945572,36.3301667054428,115
1000,653.256430938657,78.6698332945572,41.3301667054428,120
1000,653.256430938657,78.6698332945572,46.3301667054428,125
1000,653.256430938657,78.6698332945572,51.3301667054428,130
"users_served","total_utility_lp","total_cost_lp","budget_left","budget_v"
44,218.545595884909,9.98961352657007,0.0103864734299286,10
82,292.104911197095,14.9886163755729,0.0113836244270686,15
178,347.444671623635,19.9608385977952,0.0391614022048472,20
198,394.058752181694,24.9694663675126,0.0305336324874297,25
261,436.816936268795,29.9941480903554,0.00585190964464033,30
327,479.32884106378,34.9823483301195,0.0176516698805429,35
392,522.063444858508,39.9624423199051,0.0375576800948565,40
436,555.224418394671,44.9966001966521,0.00339980334786105,45
521,580.98676300821,49.9734288939401,0.0265711060598903,50
640,606.455006577696,54.983334787947,0.0166652120529633,55
759,631.923250147181,59.993240681954,0.00675931804602925,60
877,657.177474863141,64.9610465264314,0.0389534735685686,65
995,682.868417432367,69.96284617046,0.0371538295400455,70
999,714.830705634779,74.9741336352848,0.0258663647151565,75
1000,730.24003695981,79.9238053228915,0.0761946771084752,80
1000,732.237111493694,82.5640908668339,2.43590913316609,85
1000,732.237111493694,82.5640908668339,7.43590913316609,90
1000,732.237111493694,82.5640908668339,12.4359091331661,95
1000,732.237111493694,82.5640908668339,17.4359091331661,100
1000,732.237111493694,82.5640908668339,22.4359091331661,105
1000,732.237111493694,82.5640908668339,27.4359091331661,110
